,pt,de
0,que,Was
1,a,Das
2,o,Das
3,não,Nein
4,de,im
5,é,ist
6,e,und
7,um,ein
8,para,zum
9,eu,mir
10,uma,ein
11,está,es ist
12,com,mit
13,se,wenn
14,do,von
15,por,pro
16,os,das
17,ele,es
18,mas,aber
19,em,im
20,bem,gut
21,isso,Das
22,da,gibt
23,como,mögen
24,sim,Ja
25,as,beim
26,no,Bei der
27,mais,Mehr
28,na,beim
29,meu,meine
30,aqui,hierauf
31,muito,viel
32,ela,sie
33,isto,Dies
34,estou,ich bin
35,fazer,tun
36,vamos,wir werden
37,já,bereits
38,ser,sein
39,vai,gehen
40,à,Das
41,minha,meine
42,só,nur
43,ao,zu
44,tem,haben
45,tudo,alle
46,te,Sie
47,porque,Warum
48,há,es gibt
49,tenho,haben
50,vou,ich gehe
51,tu,Sie
52,sei,kennt
53,quando,Wann
54,agora,jetzt
55,estás,diese
56,você,Sie
57,lá,Dort
58,então,So
59,ter,Di
60,era,war
61,quem,Wer
62,onde,Wo
63,nada,nichts
64,ou,oder
65,coisa,Sache
66,dizer,sagen
67,são,sind
68,quero,Ich möchte
69,estava,war
70,sou,Uhr
71,seu,Ihre
72,pode,kann
73,mesmo,gleich
74,esta,es ist
75,eles,Sie
76,nós,wir
77,sua,Ihre
78,dos,Von
79,todos,alle
80,nos,wir
81,mim,mir
82,posso,ich kann
83,bom,gut
84,ver,um zu sehen
85,este,Dieses
86,casa,Haus
87,temos,wir haben
88,tens,habe
89,tua,Ihre
90,nunca,noch nie
91,estão,Sie sind
92,até,bis zu
93,assim,so was
94,teu,Ihre
95,acho,Überlegen
96,falar,sprechen
97,disse,sagte
98,ainda,immer noch
99,tempo,Zeit
100,também,ebenfalls
101,ir,gehen
102,pai,Papa
103,sobre,auf
104,quê,Was
105,és,sind
106,favor,Gefallen
107,depois,nach dem
108,tão,So
109,melhor,Beste
110,mãe,Mutter
111,talvez,vielleicht
112,olá,Hallo
113,obrigado,Danke
114,noite,Nacht-
115,ti,Sie
116,sabes,kennt
117,sempre,je
118,deus,Gott
119,estamos,wir sind
120,alguém,jemand
121,dia,Tag
122,certo,Recht
123,nem,Noch
124,alguma,etwas
125,vida,Leben
126,anos,Jahre
127,dele,seine
128,sem,ohne
129,vais,gehen
130,das,von
131,tinha,hätten
132,estar,Sein
133,queres,wollen
134,coisas,Zeug
135,homem,Mann
136,pessoas,Menschen
137,algo,etwas
138,pelo,Pelz
139,ficar,bleibe
140,boa,gut
141,sabe,Wissen Sie
142,parece,sieht aus
143,claro,klar
144,dois,zwei
145,verdade,Wahrheit
146,tipo,Art
147,preciso,brauchen
148,antes,Vor
149,senhor,Herr
150,lhe,Sie
151,podes,kann
152,apenas,nur
153,sr.,sr.
154,faz,tut
155,vocês,Sie
156,ninguém,niemand
157,trabalho,Job
158,outra,andere
159,espera,warten
160,saber,wissen
161,comigo,mit mir
162,vão,vergeblich
163,dinheiro,Geld
164,aí,Dort
165,podemos,wir können
166,pouco,wenig
167,essa,Das
168,esse,Das
169,grande,groß
170,pois,weil
171,pela,durch die
172,qualquer,irgendein
173,disso,von diesem
174,num,Auf eins
175,qual,welche
176,desculpa,Ausrede
177,dela,ihr
178,hoje,heute
179,toda,alle
180,deve,sollte
181,mulher,Frau
