pt,de
que,Was
a,Das
o,Das
não,Nein
de,im
é,ist
e,und
um,ein
para,zum
eu,mir
uma,ein
está,es ist
com,mit
se,wenn
do,von
por,pro
os,das
ele,es
mas,aber
em,im
bem,gut
isso,Das
da,gibt
como,mögen
sim,Ja
as,beim
no,Bei der
mais,Mehr
na,beim
meu,meine
aqui,hierauf
me,mir
muito,viel
foi,war
ela,sie
isto,Dies
estou,ich bin
fazer,tun
vamos,wir werden
já,bereits
ser,sein
vai,gehen
à,Das
minha,meine
só,nur
ao,zu
tem,haben
tudo,alle
te,Sie
porque,Warum
há,es gibt
tenho,haben
vou,ich gehe
tu,Sie
sei,kennt
quando,Wann
agora,jetzt
estás,diese
você,Sie
lá,Dort
então,So
ter,Di
era,war
quem,Wer
onde,Wo
nada,nichts
ou,oder
coisa,Sache
dizer,sagen
são,sind
quero,Ich möchte
estava,war
sou,Uhr
seu,Ihre
pode,kann
mesmo,gleich
esta,es ist
eles,Sie
nós,wir
sua,Ihre
dos,Von
todos,alle
nos,wir
mim,mir
posso,ich kann
bom,gut
ver,um zu sehen
este,Dieses
casa,Haus
temos,wir haben
tens,habe
tua,Ihre
nunca,noch nie
estão,Sie sind
até,bis zu
assim,so was
teu,Ihre
acho,Überlegen
falar,sprechen
disse,sagte
ainda,immer noch
tempo,Zeit
também,ebenfalls
ir,gehen
pai,Papa
sobre,auf
vez,Wende
quê,Was
quer,Möchtest du
és,sind
favor,Gefallen
depois,nach dem
tão,So
melhor,Beste
mãe,Mutter
talvez,vielleicht
olá,Hallo
obrigado,Danke
noite,Nacht-
ti,Sie
sabes,kennt
sempre,je
deus,Gott
estamos,wir sind
alguém,jemand
dia,Tag
certo,Recht
nem,Noch
alguma,etwas
vida,Leben
anos,Jahre
dele,seine
sem,ohne
vais,gehen
das,von
tinha,hätten
estar,Sein
queres,wollen
coisas,Zeug
homem,Mann
pessoas,Menschen
algo,etwas
pelo,Pelz
ficar,bleibe
boa,gut
sabe,Wissen Sie
parece,sieht aus
claro,klar
dois,zwei
verdade,Wahrheit
tipo,Art
preciso,brauchen
antes,Vor
senhor,Herr
lhe,Sie
podes,kann
apenas,nur
sr.,sr.
faz,tut
vocês,Sie
ninguém,niemand
trabalho,Job
outra,andere
espera,warten
saber,wissen
comigo,mit mir
vão,vergeblich
dinheiro,Geld
aí,Dort
podemos,wir können
pouco,wenig
essa,Das
esse,Das
grande,groß
pois,weil
pela,durch die
qualquer,irgendein
disso,von diesem
num,Auf eins
qual,welche
desculpa,Ausrede
dela,ihr
hoje,heute
toda,alle
deve,sollte
mulher,Frau
queria,ich wollte
fora,aus
filho,Sohn
cá,Hier
seja,Sein
meus,meine
nosso,unser
olha,sieht aus
vá,gehen
daqui,daher
sério,wirklich
